snapshot_time,type,asset,kalshi_ticker,poly_slug,direction,combined_cost,profit,payout,kalshi_outcome,polymarket_outcome,poly_up_best_ask,poly_up_size_055,poly_up_slip_1000,poly_up_slip_3000,poly_down_best_ask,poly_down_size_055,poly_down_slip_1000,poly_down_slip_3000,kalshi_yes_levels,kalshi_no_levels,poly_up_vwap,poly_up_unfilled,poly_down_vwap,poly_down_unfilled,kalshi_yes_vwap,kalshi_yes_unfilled,kalshi_no_vwap,kalshi_no_unfilled,execution_status,combined_vwap,logged_at
2026-09-20T12:48:08.460354+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191415-15,doge-updown-15m-1789840800,A,0.16,0.84,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:08.658380+00:00,CLOSED,XRP,KXXRP15M-26SEP191415-15,xrp-updown-15m-1789840800,A,0.56,0.44,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:08.859366+00:00,CLOSED,BNB,KXBNB15M-26SEP191415-15,bnb-updown-15m-1789840800,A,0.45,0.55,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:09.073586+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191415-15,hype-updown-15m-1789840800,A,0.35,0.65,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:09.265105+00:00,CLOSED,ETH,KXETH15M-26SEP191415-15,eth-updown-15m-1789840800,A,0.61,0.39,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:09.369523+00:00,CLOSED,BTC,KXBTC15M-26SEP191415-15,btc-updown-15m-1789840800,A,0.55,0.45,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:09.555023+00:00,CLOSED,SOL,KXSOL15M-26SEP191415-15,sol-updown-15m-1789840800,A,0.43,0.57,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:09.741156+00:00,CLOSED,ZEC,KXZEC15M-26SEP191415-15,zec-updown-15m-1789840800,B,0.3,0.7,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:09.911396+00:00,CLOSED,XRP,KXXRP15M-26SEP191430-30,xrp-updown-15m-1789841700,B,0.42,0.58,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:10.085471+00:00,CLOSED,BTC,KXBTC15M-26SEP191430-30,btc-updown-15m-1789841700,A,0.77,0.23,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:10.200402+00:00,CLOSED,ETH,KXETH15M-26SEP191430-30,eth-updown-15m-1789841700,B,0.61,0.39,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:10.387405+00:00,CLOSED,BNB,KXBNB15M-26SEP191430-30,bnb-updown-15m-1789841700,B,0.48,0.52,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:10.588018+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191430-30,hype-updown-15m-1789841700,B,0.43,0.57,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:10.776843+00:00,CLOSED,ZEC,KXZEC15M-26SEP191430-30,zec-updown-15m-1789841700,A,0.39,0.61,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:10.956570+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191430-30,doge-updown-15m-1789841700,B,0.44,0.56,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:11.050098+00:00,CLOSED,SOL,KXSOL15M-26SEP191430-30,sol-updown-15m-1789841700,B,0.56,0.44,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:11.228607+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191445-45,hype-updown-15m-1789842600,B,0.51,0.49,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:11.405023+00:00,CLOSED,BTC,KXBTC15M-26SEP191445-45,btc-updown-15m-1789842600,A,0.61,0.39,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:11.596427+00:00,CLOSED,ETH,KXETH15M-26SEP191445-45,eth-updown-15m-1789842600,B,0.56,0.44,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:11.774946+00:00,CLOSED,SOL,KXSOL15M-26SEP191445-45,sol-updown-15m-1789842600,B,0.58,0.42,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:11.957261+00:00,CLOSED,XRP,KXXRP15M-26SEP191445-45,xrp-updown-15m-1789842600,B,0.58,0.42,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:12.153257+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191445-45,doge-updown-15m-1789842600,B,0.5,0.5,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:12.352811+00:00,CLOSED,ZEC,KXZEC15M-26SEP191445-45,zec-updown-15m-1789842600,B,0.48,0.52,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:12.565305+00:00,CLOSED,BNB,KXBNB15M-26SEP191445-45,bnb-updown-15m-1789842600,B,0.43,0.57,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:12.757745+00:00,CLOSED,BNB,KXBNB15M-26SEP191500-00,bnb-updown-15m-1789843500,B,0.49,0.51,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:12.961618+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191500-00,hype-updown-15m-1789843500,A,0.42,0.58,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:13.041066+00:00,CLOSED,BTC,KXBTC15M-26SEP191500-00,btc-updown-15m-1789843500,B,0.65,0.35,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:13.131359+00:00,CLOSED,ETH,KXETH15M-26SEP191500-00,eth-updown-15m-1789843500,B,0.49,0.51,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:13.317037+00:00,CLOSED,SOL,KXSOL15M-26SEP191500-00,sol-updown-15m-1789843500,B,0.6,0.4,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:13.515324+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191500-00,doge-updown-15m-1789843500,B,0.67,0.33,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:13.705016+00:00,CLOSED,ZEC,KXZEC15M-26SEP191500-00,zec-updown-15m-1789843500,B,0.45,0.55,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:13.891059+00:00,CLOSED,XRP,KXXRP15M-26SEP191500-00,xrp-updown-15m-1789843500,B,0.79,0.21,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.065804+00:00,CLOSED,XRP,KXXRP15M-26SEP191515-15,xrp-updown-15m-1789844400,A,0.78,0.22,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.276999+00:00,CLOSED,BNB,KXBNB15M-26SEP191515-15,bnb-updown-15m-1789844400,A,0.65,0.35,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.381667+00:00,CLOSED,BTC,KXBTC15M-26SEP191515-15,btc-updown-15m-1789844400,A,0.75,0.25,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.579172+00:00,CLOSED,ZEC,KXZEC15M-26SEP191530-30,zec-updown-15m-1789845300,B,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.669315+00:00,CLOSED,BTC,KXBTC15M-26SEP191530-30,btc-updown-15m-1789846200,A,0.451,-0.451,0.0,up,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.770496+00:00,CLOSED,SOL,KXSOL15M-26SEP191530-30,sol-updown-15m-1789846200,A,0.341,-0.341,0.0,up,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:14.957105+00:00,CLOSED,ZEC,KXZEC15M-26SEP191545-45,zec-updown-15m-1789846200,A,0.77,0.23,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:15.160401+00:00,CLOSED,BNB,KXBNB15M-26SEP191545-45,bnb-updown-15m-1789846200,A,0.76,0.24,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:15.333389+00:00,CLOSED,DOGE,KXDOGE15M-26SEP191545-45,doge-updown-15m-1789846200,A,0.68,0.32,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:15.559821+00:00,CLOSED,HYPE,KXHYPE15M-26SEP191545-45,hype-updown-15m-1789846200,A,0.73,0.27,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:15.628834+00:00,CLOSED,BTC,KXBTC15M-26SEP191545-45,btc-updown-15m-1789846200,B,0.74,0.26,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:15.687030+00:00,CLOSED,SOL,KXSOL15M-26SEP191545-45,sol-updown-15m-1789846200,B,0.65,0.35,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:48:15.785281+00:00,CLOSED,ETH,KXETH15M-26SEP191545-45,eth-updown-15m-1789846200,A,0.72,0.28,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
